SKU,Name,Description,Brand,Price,Location,StyleCode,
"BK-M82B-42","Mountain-100 Black, 42","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","ACME Corporation",2699.99,"Finished Goods Storage","BK-M82B",
"BK-M82B-44","Mountain-100 Black, 44","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","ACME Corporation",3374.99,"Finished Goods Storage","BK-M82B",
"BK-M82S-38","Mountain-100 Silver, 38","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","ACME Corporation",3399.99,"Finished Goods Storage","BK-M82S",
"BK-M82S-42","Mountain-100 Silver, 42","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","ACME Corporation",3399.99,"Finished Goods Storage","BK-M82S",
"BK-M82S-44","Mountain-100 Silver, 44","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","ACME Corporation",2719.99,"Finished Goods Storage","BK-M82S",
"BK-M82S-48","Mountain-100 Silver, 48","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","ACME Corporation",3399.99,"Finished Goods Storage","BK-M82S",
"BK-R19B-44","Road-750 Black, 44","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","ACME Corporation",539.99,"Finished Goods Storage","BK-R19B",
"BK-R19B-48","Road-750 Black, 48","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","ACME Corporation",431.99,"Finished Goods Storage","BK-R19B",
"BK-R19B-52","Road-750 Black, 52","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","ACME Corporation",539.99,"Finished Goods Storage","BK-R19B",
"BK-R19B-58","Road-750 Black, 58","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","ACME Corporation",539.99,"Finished Goods Storage","BK-R19B",
"BK-R50B-44","Road-650 Black, 44","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50B",
"BK-R50B-52","Road-650 Black, 52","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50B",
"BK-R50B-58","Road-650 Black, 58","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50B",
"BK-R50B-60","Road-650 Black, 60","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50B",
"BK-R50B-62","Road-650 Black, 62","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",626.39,"Finished Goods Storage","BK-R50B",
"BK-R50R-44","Road-650 Red, 44","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50R",
"BK-R50R-48","Road-650 Red, 48","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50R",
"BK-R50R-52","Road-650 Red, 52","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50R",
"BK-R50R-58","Road-650 Red, 58","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50R",
"BK-R50R-60","Road-650 Red, 60","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50R",
"BK-R50R-62","Road-650 Red, 62","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","ACME Corporation",782.99,"Finished Goods Storage","BK-R50R",
"BK-R64Y-38","Road-550-W Yellow, 38","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","ACME Corporation",1120.49,"Finished Goods Storage","BK-R64Y",
"BK-R64Y-40","Road-550-W Yellow, 40","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","ACME Corporation",1120.49,"Finished Goods Storage","BK-R64Y",
"BK-R64Y-42","Road-550-W Yellow, 42","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","ACME Corporation",1120.49,"Finished Goods Storage","BK-R64Y",
"BK-R64Y-44","Road-550-W Yellow, 44","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","ACME Corporation",1120.49,"Finished Goods Storage","BK-R64Y",
"BK-R64Y-48","Road-550-W Yellow, 48","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","ACME Corporation",1120.49,"Finished Goods Storage","BK-R64Y",
"BK-R68R-44","Road-450 Red, 44","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","ACME Corporation",1457.99,"Finished Goods Storage","BK-R68R",
"BK-R68R-48","Road-450 Red, 48","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","ACME Corporation",1457.99,"Finished Goods Storage","BK-R68R",
"BK-R68R-52","Road-450 Red, 52","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","ACME Corporation",1457.99,"Finished Goods Storage","BK-R68R",
"BK-R68R-58","Road-450 Red, 58","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","ACME Corporation",1457.99,"Finished Goods Storage","BK-R68R",
"BK-R68R-60","Road-450 Red, 60","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","ACME Corporation",1457.99,"Finished Goods Storage","BK-R68R",
"BK-R79Y-40","Road-350-W Yellow, 40","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","ACME Corporation",1700.99,"Finished Goods Storage","BK-R79Y",
"BK-R79Y-42","Road-350-W Yellow, 42","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","ACME Corporation",1700.99,"Finished Goods Storage","BK-R79Y",
"BK-R79Y-44","Road-350-W Yellow, 44","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","ACME Corporation",1700.99,"Finished Goods Storage","BK-R79Y",
"BK-R79Y-48","Road-350-W Yellow, 48","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","ACME Corporation",1700.99,"Finished Goods Storage","BK-R79Y",
"BK-R89B-44","Road-250 Black, 44","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",2443.35,"Finished Goods Storage","BK-R89B",
"BK-R89B-48","Road-250 Black, 48","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",2443.35,"Finished Goods Storage","BK-R89B",
"BK-R89B-52","Road-250 Black, 52","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",1954.68,"Finished Goods Storage","BK-R89B",
"BK-R89B-58","Road-250 Black, 58","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",2443.35,"Finished Goods Storage","BK-R89B",
"BK-R89R-44","Road-250 Red, 44","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",2443.35,"Finished Goods Storage","BK-R89R",
"BK-R89R-48","Road-250 Red, 48","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",2443.35,"Finished Goods Storage","BK-R89R",
"BK-R89R-52","Road-250 Red, 52","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",2443.35,"Finished Goods Storage","BK-R89R",
"BK-R89R-58","Road-250 Red, 58","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","ACME Corporation",2443.35,"Finished Goods Storage","BK-R89R",
"BK-R93R-44","Road-150 Red, 44","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","ACME Corporation",2862.62,"Finished Goods Storage","BK-R93R",
"BK-R93R-48","Road-150 Red, 48","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","ACME Corporation",3578.27,"Finished Goods Storage","BK-R93R",
"BK-R93R-52","Road-150 Red, 52","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","ACME Corporation",2862.62,"Finished Goods Storage","BK-R93R",
"BK-R93R-62","Road-150 Red, 62","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","ACME Corporation",3578.27,"Finished Goods Storage","BK-R93R",
"BK-T18U-44","Touring-3000 Blue, 44","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",593.88,"Finished Goods Storage","BK-T18U",
"BK-T18U-50","Touring-3000 Blue, 50","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",742.35,"Finished Goods Storage","BK-T18U",
"BK-T18U-54","Touring-3000 Blue, 54","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",593.88,"Finished Goods Storage","BK-T18U",
"BK-T18U-58","Touring-3000 Blue, 58","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",742.35,"Finished Goods Storage","BK-T18U",
"BK-T18U-62","Touring-3000 Blue, 62","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",742.35,"Finished Goods Storage","BK-T18U",
"BK-T18Y-44","Touring-3000 Yellow, 44","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",593.88,"Finished Goods Storage","BK-T18Y",
"BK-T18Y-50","Touring-3000 Yellow, 50","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",742.35,"Finished Goods Storage","BK-T18Y",
"BK-T18Y-54","Touring-3000 Yellow, 54","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",742.35,"Finished Goods Storage","BK-T18Y",
"BK-T18Y-58","Touring-3000 Yellow, 58","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",593.88,"Finished Goods Storage","BK-T18Y",
"BK-T18Y-62","Touring-3000 Yellow, 62","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","ACME Corporation",742.35,"Finished Goods Storage","BK-T18Y",
"BK-T44U-46","Touring-2000 Blue, 46","The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.","ACME Corporation",1214.85,"Finished Goods Storage","BK-T44U",
"BK-T44U-50","Touring-2000 Blue, 50","The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.","ACME Corporation",1214.85,"Finished Goods Storage","BK-T44U",
"BK-T44U-54","Touring-2000 Blue, 54","The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.","ACME Corporation",971.88,"Finished Goods Storage","BK-T44U",
"BK-T44U-60","Touring-2000 Blue, 60","The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.","ACME Corporation",1214.85,"Finished Goods Storage","BK-T44U",
"BK-T79U-46","Touring-1000 Blue, 46","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79U",
"BK-T79U-50","Touring-1000 Blue, 50","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79U",
"BK-T79U-54","Touring-1000 Blue, 54","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79U",
"BK-T79U-60","Touring-1000 Blue, 60","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79U",
"BK-T79Y-46","Touring-1000 Yellow, 46","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79Y",
"BK-T79Y-50","Touring-1000 Yellow, 50","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79Y",
"BK-T79Y-54","Touring-1000 Yellow, 54","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79Y",
"BK-T79Y-60","Touring-1000 Yellow, 60","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","ACME Corporation",2384.07,"Finished Goods Storage","BK-T79Y",
"BL-2036","Blade","","ACME Corporation",1.99,"Subassembly","BL-2036",
"CS-2812","Chain Stays","","ACME Corporation",1.99,"Subassembly","CS-2812",
"CS-4759","LL Crankset","Super rigid spindle.","ACME Corporation",175.49,"Subassembly","CS-4759",
"CS-6583","ML Crankset","High-strength crank arm.","ACME Corporation",256.49,"Subassembly","CS-6583",
"CS-9183","HL Crankset","Triple crankset; alumunim crank arm; flawless shifting.","ACME Corporation",404.99,"Subassembly","CS-9183",
"DT-2377","Down Tube","","ACME Corporation",1.99,"Subassembly","DT-2377",
"EC-M092","Mountain End Caps","","ACME Corporation",1.59,"Subassembly","EC-M092",
"EC-R098","Road End Caps","","ACME Corporation",1.99,"Subassembly","EC-R098",
"EC-T209","Touring End Caps","","ACME Corporation",1.99,"Subassembly","EC-T209",
"FC-3654","Fork Crown","","ACME Corporation",1.99,"Subassembly","FC-3654",
"FD-2342","Front Derailleur","Wide-link design.","ACME Corporation",73.19,"Subassembly","FD-2342",
"FE-3760","Fork End","","ACME Corporation",1.99,"Subassembly","FE-3760",
"FK-1639","LL Fork","Stout design absorbs shock and offers more precise steering.","ACME Corporation",118.58,"Subassembly","FK-1639",
"FK-5136","ML Fork","Composite road fork with an aluminum steerer tube.","ACME Corporation",175.49,"Subassembly","FK-5136",
"FK-9939","HL Fork","High-performance carbon road fork with curved legs.","ACME Corporation",183.59,"Subassembly","FK-9939",
"FR-M21B-40","LL Mountain Frame - Black, 40","Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.","ACME Corporation",249.79,"Subassembly","FR-M21B",
"FR-M21S-40","LL Mountain Frame - Silver, 40","Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.","ACME Corporation",264.05,"Subassembly","FR-M21S",
"FR-M63B-38","ML Mountain Frame - Black, 38","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.","ACME Corporation",279.01,"Subassembly","FR-M63B",
"FR-M63S-38","ML Mountain Frame-W - Silver, 38","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.","ACME Corporation",364.09,"Subassembly","FR-M63S",
"FR-M94B-38","HL Mountain Frame - Black, 38","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","ACME Corporation",1349.60,"Subassembly","FR-M94B",
"FR-M94S-38","HL Mountain Frame - Silver, 38","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","ACME Corporation",1364.50,"Subassembly","FR-M94S",
"FR-R72Y-38","ML Road Frame-W - Yellow, 38","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","ACME Corporation",594.83,"Subassembly","FR-R72Y",
"FW-M423","LL Mountain Front Wheel","Replacement mountain wheel for entry-level rider.","ACME Corporation",48.60,"Subassembly","FW-M423",
"FW-M762","ML Mountain Front Wheel","Replacement mountain wheel for the casual to serious rider.","ACME Corporation",209.03,"Subassembly","FW-M762",
"FW-R623","LL Road Front Wheel","Replacement road front wheel for entry-level cyclist.","ACME Corporation",85.57,"Subassembly","FW-R623",
"FW-R762","ML Road Front Wheel","Sturdy alloy features a quick-release hub.","ACME Corporation",198.71,"Subassembly","FW-R762",
"FW-R820","HL Road Front Wheel","Strong wheel with double-walled rim.","ACME Corporation",330.06,"Subassembly","FW-R820",
"FW-T905","Touring Front Wheel","Aerodynamic rims for smooth riding.","ACME Corporation",174.41,"Subassembly","FW-T905",
"HB-M243","LL Mountain Handlebars","All-purpose bar for on or off-road.","ACME Corporation",44.54,"Subassembly","HB-M243",
"HB-M763","ML Mountain Handlebars","Tough aluminum alloy bars for downhill.","ACME Corporation",61.92,"Subassembly","HB-M763",
"HB-M918","HL Mountain Handlebars","Flat bar strong enough for the pro circuit.","ACME Corporation",96.22,"Subassembly","HB-M918",
"HB-R504","LL Road Handlebars","Unique shape provides easier reach to the levers.","ACME Corporation",44.54,"Subassembly","HB-R504",
"HB-R720","ML Road Handlebars","Anatomically shaped aluminum tube bar will suit all riders.","ACME Corporation",49.54,"Subassembly","HB-R720",
"HB-R956","HL Road Handlebars","Designed for racers; high-end anatomically shaped bar from aluminum alloy.","ACME Corporation",96.22,"Subassembly","HB-R956",
"HB-T721","LL Touring Handlebars","Unique shape reduces fatigue for entry level riders.","ACME Corporation",46.09,"Subassembly","HB-T721",
"HB-T928","HL Touring Handlebars","A light yet stiff aluminum bar for long distance riding.","ACME Corporation",91.57,"Subassembly","HB-T928",
"HS-0296","LL Headset","Threadless headset provides quality at an economical price.","ACME Corporation",34.20,"Subassembly","HS-0296",
"HS-2451","ML Headset","Sealed cartridge keeps dirt out.","ACME Corporation",102.29,"Subassembly","HS-2451",
"HS-3479","HL Headset","High-quality 1 threadless headset with a grease port for quick lubrication.","ACME Corporation",99.78,"Subassembly","HS-3479",
"LW-1000","Lock Washer 4","","Inner City Bikes",1.99,"Subassembly","LW-1000",
"LW-1200","Lock Washer 5","","Inner City Bikes",1.99,"Subassembly","LW-1200",
"LW-1201","Lock Washer 10","","Inner City Bikes",1.99,"Subassembly","LW-1201",
"LW-1400","Lock Washer 6","","Inner City Bikes",1.99,"Subassembly","LW-1400",
"LW-3400","Lock Washer 13","","Inner City Bikes",1.99,"Subassembly","LW-3400",
"LW-3800","Lock Washer 8","","Inner City Bikes",1.99,"Subassembly","LW-3800",
"LW-4000","Lock Washer 1","","Inner City Bikes",1.59,"Subassembly","LW-4000",
"LW-5160","Lock Washer 7","","Inner City Bikes",1.59,"Subassembly","LW-5160",
"LW-5800","Lock Washer 12","","Inner City Bikes",1.99,"Subassembly","LW-5800",
"LW-6000","Lock Washer 2","","Inner City Bikes",1.99,"Subassembly","LW-6000",
"LW-7160","Lock Washer 9","","Inner City Bikes",1.59,"Subassembly","LW-7160",
"LW-8000","Lock Washer 3","","Inner City Bikes",1.59,"Subassembly","LW-8000",
"LW-9160","Lock Washer 11","","Inner City Bikes",1.99,"Subassembly","LW-9160",
"RD-2308","Rear Derailleur","Wide-link design.","ACME Corporation",97.17,"Subassembly","RD-2308",
"RW-M423","LL Mountain Rear Wheel","Replacement mountain wheel for entry-level rider.","ACME Corporation",87.75,"Subassembly","RW-M423",
"RW-M762","ML Mountain Rear Wheel","Replacement mountain wheel for the casual to serious rider.","ACME Corporation",188.82,"Subassembly","RW-M762",
"RW-M928","HL Mountain Rear Wheel","High-performance mountain replacement wheel.","ACME Corporation",261.77,"Subassembly","RW-M928",
"RW-R623","LL Road Rear Wheel","Replacement road rear wheel for entry-level cyclist.","ACME Corporation",112.57,"Subassembly","RW-R623",
"RW-R762","ML Road Rear Wheel","Aluminum alloy rim with stainless steel spokes; built for speed.","ACME Corporation",275.39,"Subassembly","RW-R762",
"RW-R820","HL Road Rear Wheel","Strong rear wheel with double-walled rim.","ACME Corporation",357.06,"Subassembly","RW-R820",
"RW-T905","Touring Rear Wheel","Excellent aerodynamic rims guarantee a smooth ride.","ACME Corporation",245.01,"Subassembly","RW-T905",
"SA-M198","LL Mountain Seat Assembly","","ACME Corporation",133.34,"Subassembly","SA-M198",
"SA-M237","ML Mountain Seat Assembly","","ACME Corporation",147.14,"Subassembly","SA-M237",
"SA-M687","HL Mountain Seat Assembly","","ACME Corporation",196.92,"Subassembly","SA-M687",
"SA-R127","LL Road Seat Assembly","","ACME Corporation",106.67,"Subassembly","SA-R127",
